,,"5、开始行程、结束行程：
支持用户开始行程和结束行程，同时根据行程状态，关联展示首页的行程
1）点击“开始行程”：
--支持用户选择时间后开启行程，行程卡片上同步显示该开始时间；同时卡片左上标签为进行中；
--点击开始行程后，提示“已开始xxx行程”【xxx为行程名称】
--已开始的行程自动置顶
2）点击“提前结束”：
--用户结束该行程，同时卡片左上角标签为已完成；
--点击结束行程后，提示“确定要提前结束该行程吗？结束行程后将停止行程提醒”，支持用户确认是否结束
--已结束的行程自动置底，如果有多个已结束行程，按照时间由近到远排序
3）当用户未点击开始行程时，卡片左上角显示计划中；
4）开始行程之后不支持编辑行程；
5）与首页行程卡片的关联逻辑：当用户点击开始行程时，首页卡片显示行程的第一个节点；当用户点击提前结束时，首页卡片不显示行程内容
6）与行程详情页卡片的关联逻辑：当用户点击开始行程时，且详情页的节点到当前节点开始时间时，该节点显示“进行中”；当用户结束行程时，详情页的所有节点状态显示“已完成”
7）异常情况：
1）当用户选择的时间晚于当前时间时，弹窗提示用户：该时间不可选
2）当开始行程发生冲突时【如：用户正在开始一个行程（5.1开始，4天）时，点击其他行程（5.1开始，2天）】，需弹窗提示用户：已有在进行中的行程，请结束进行中的行程后再进行开始当前行程",,,,,,,,,,,,,,,,,,
,,"6、删除行程：支持用户删除行程
1）当该行程来自问答的“采纳行程”，删除后，问答中的状态由【已采纳】改为【一键采纳】，支持用户再次采纳行程；
2）当该行程来自扫码导入，删除后，该行程数据清空；
3）当行程在进行中时，不支持用户增删改行程。",,,,,,,,,,,,,,,,,,
,行程详情,"总览：
1、地图：根据规划内容和修改后行程内容展示地图
2、类型tab切：包含全部、交通、餐饮、景点、住宿、自定义活动；按照不同类型tab切显示每天对应类型的要素",,,,,,,,,,,,,,,,,,
,,"3、卡片：包含交通（航班、高铁、自驾）、餐饮、景区、酒店、自定义活动
1）当各类型中有智能体时，展示智能体卡片，点击卡片进入该智能体对话页；当无匹配的智能体时，展示详情页卡片，点击卡片进入详情页；
2）智能体卡片：包含基本信息（时间点 、类型、节点状态、服务基础内容）、tips、对应服务按钮；支持点击对应服务跳转到智能体；卡片右上角显示【智能体】标签。
非智能体卡片包含：基本信息、tips；卡片右上角无标签。
--节点状态：未开始、进行中、已结束
3）卡片字段：下表字段为每个类型卡片上展示的字段；其中基础服务与定制服务展示在卡片最下方，当有智能体时，展示基础服务+定制服务卡片，智能体的功能放在通用服务前面（去重）；当无智能体时，展示基础服务卡片。 字段表", ,,,,,,,,,,,,,,,,,
,,"4、行程节点开始、结束规则：
1）当用户点击“开始行程”后，当前行程的第一个节点状态为“未开始”，当当前时间与第一个节点（A节点）的时间重合时，状态改为“进行中”；
2）当前时间与下一个节点（B节点）时间重合时，则A节点的状态改为“已完成”，B节点的状态为“进行中”；
3）当天最后一节点，在当天的零点，状态改为“已结束”；第二天的第一个节点，根据节点的时间改变节点状态。",,,,,,,,,,,,,,,,,,
,,5、整个行程默认开始时间，是问答的默认时间（默认问答的第二天开启行程）,,,,,,,,,,,,,,,,,,
,,"每日：
1、支持以tab切分页的形式展示每天的行程；
2、支持增删天数
1）点击加号后，增加新页面，按照上一个页面序号顺延，如前一个是day3，增加的页面为day4
2）点击减号后，进入删除模式，每个“Day”按钮右上角会出现红色的“X”图标。
3）点击“X”图标即可删除该天及其所有行程节点。
4）删除后，后续的天数会自动重新编号（例如删除 Day 2 后，原 Day 3 变为 Day 2）。
5）再次点击减号可退出删除模式。
6）当用户每日行程只有一天时，不支持用户删除，至少保留一天行程。
3、当行程在进行中时，不支持用户增删改行程。",,,,,,,,,,,,,,,,,,
,,"4、添加行程节点：支持用户选择行程类型、时间和DAY，添加行程节点
1）当添加的节点时间与已规划的节点时间冲突时，提示：行程冲突，请修改时间。",,,,,,,,,,,,,,,,,,
,,"5、R1规划详情页
1）展示景点、美食、酒店节点，当数据中缺少内容，则不展示；
展示顺序为：景点、酒店、美食；
假设数据中只有景点，详情页只展示景点节点。
2）R1的行程，在行程的首页列表里，不支持点击开启行程。", ,,,,,,,,,,,,,,,,,
,地图,"1、总览：显示每日的市级地区
2、每日：显示当天各景点、酒店、餐饮的线路地图
1）当用户增删景点时，地图线路需要进行对应的修改；
2）当用户增加自定义活动时，不加入地图线路。",,,,,,,,,,,,,,,,,,
添加行程,创建新行程,跳转到旅行规划页面,,,,,,,,,,,,,,,,,,
,扫码导入,支持扫描旅行社二维码，导入行程,,,,,,,,,,,,,,,,,,
问答页面,问答门户智能体,"1.答案类型及结构：
1.1规划问答：贵州3日游
文本答案+地图+卡片（智能体卡片和产商品卡片混排）+功能键（点赞/点踩/复制；查看行程/一键购买/采纳行程）；
1）卡片展示答案中出现的景区、酒店、美食、个人智能体
2）当卡片为智能体时，点击跳转到智能体问答页；当卡片为产商品时，点击跳转到产商品详情页；
3）功能键：
--查看行程：点击后进入详情页，支持用户查看，本期不支持修改；
--一键购买：点击一键购买，问答中的商品加入到购物车；【和已有逻辑一致】
--采纳行程：点击采纳行程，按钮状态改为【已采纳】，同时行程加入到“我的行程”中。", ,,,,,,,,,,,,,,,,,
,,"1.2 订购问答：
支持用户提问订购景区、酒店、交通（机票、火车票），并直接跳转到对应的订购页面【按照原有跳转逻辑进行跳转】
1）订购景区：订购小七孔门票
用户提问后，答案展示智能体卡片/产商品卡片，同时跳转到景区详情页（原开发的页面）；
当用户点击返回问答页后，点击卡片，进入智能体/原详情页；
卡片上其余的功能，跳转与行程卡片一致。
2）订购酒店：预定贵州饭店房间
用户提问后，答案展示智能体卡片/产商品卡片，同时跳转到酒店详情页（原开发的页面）；
当用户点击返回问答页后，点击卡片，进入进入智能体/原详情页；
卡片上其余的功能，跳转与行程卡片一致。
3）订购火车票（机票暂不支持）：订购从北京到贵阳的火车票
提问订购火车票，直接跳转到火车票订购页；
点击卡片跳转到火车票列表（与原功能一致）。
4）预定餐厅：预定贵州饭店包厢
用户提问后，答案展示餐厅智能体卡片/产商品卡片，不做跳转；
当用户点击智能体卡片后，点击跳转到问答页面；
其余卡片上的功能与行程卡片一致。

卡片样式---》", , ,,,,,,,,,,,,,,,,
,,"1.3 推荐类问答：推荐贵阳著名景点
文本+卡片（智能体卡片和产商品卡片混排）+功能键（点赞/点踩/复制）；", ,,,,,,,,,,,,,,,,,
,旅游规划智能体,"1、问答答案及类型，同问答门户
2、输入框上方功能按钮：
1）启发我去哪、风味贵州，点击触发对话，答案样式保持不变；
2）著名景点，点击触发对话，答案结构不变，景点卡片改为智能体+产商品卡片混排；
3）景区导览，点击进入h5页面（原功能）。", ,,,,,,,,,,,,,,,,,
,旅居设计智能体,"1、问答答案及类型，同问答门户
2、输入框上方功能按钮：旅居线路、旅居基地、旅居攻略、旅居舒适度，点击跳转到对应的h5页面（贵旅数网已开发）",,,,,,,,,,,,,,,,,,
,旅行记录智能体,"1、问答答案及类型，同问答门户
2、输入框上方功能按钮：打卡留言，点击后跳转到h5页面（金汇已开发）",,,,,,,,,,,,,,,,,,
我的,个人信息,与原功能保持一致,,,,,,,,,,,,,,,,,,
,我的智能体,"1、新增智能体：当用户无个人智能体时，显示【创建个人智能体】入口，点击后跳转到个人智能体开发的h5页面，进行创建智能体；
注：一个用户只允许创建一个智能体
2、我的智能体：当用户创建完成智能体后，显示个人智能体卡片，支持用户推送智能体、查看智能体详情、删除智能体；
查看智能体详情：点击后进入详情页页面（跳转到个人智能体开发的h5）",,,,,,,,,,,,,,,,,,
,我的服务,展示收藏、购物、优惠券、我的行程及我的订单相关入口，与原功能保持一致。,,,,,,,,,,,,,,,,,,
,底部功能,"1、常用证件信息、协议规则、设置与原功能保持一致
2、热线电话：点击出现弹窗，展示服务热线和黄小西客服电话（与原侧导中的热线电话保持一致）",,,,,,,,,,,,,,,,,,
国际化,,,,,,,,,,,,,,,,,,,,
功能合版,,,,,,,,,,,,,,,,,,,,
黄小西APP,,"1、app框架金汇负责，并提供原生转h5的方案；
2、首页、行程、我的模块，转h5页面，嵌入app。",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
